INFO 06/11/2020 20:21:31  luanchFromDiffVersion, pre version is undefined
INFO 06/11/2020 20:21:32  overwriteThemeFolder
INFO 06/11/2020 20:21:32  ------------------start------------------
INFO 06/11/2020 20:21:32  typora version: 0.9.96
DEBUG 06/11/2020 20:21:32  [ '/home/glaulher/Typora-linux-x64/Typora' ]
INFO 06/11/2020 20:21:32  [Raven] instanceKey = 4b4353ec-236e-457d-b14e-a51c47f1d35c
INFO 06/11/2020 20:21:32  [Raven] userId = e14f096c-b0a6-4de2-8256-4fd7513abe13
DEBUG 06/11/2020 20:21:32  app.openFile
INFO 06/11/2020 20:21:33  [focus] 1
INFO 06/11/2020 20:21:36  ----------------before-quit-----------------
INFO 06/11/2020 20:21:36  ------------------will-quit------------------
INFO 06/11/2020 20:21:47  ------------------start------------------
INFO 06/11/2020 20:21:47  typora version: 0.9.96
DEBUG 06/11/2020 20:21:47  [ '/home/glaulher/Typora-linux-x64/Typora' ]
INFO 06/11/2020 20:21:47  [Raven] instanceKey = 671ac40c-35b4-4671-8b0e-d01a5e51f2bb
DEBUG 06/11/2020 20:21:47  app.openFile
INFO 06/11/2020 20:21:47  [Raven] userId = e14f096c-b0a6-4de2-8256-4fd7513abe13
INFO 06/11/2020 20:21:47  [focus] 1
INFO 06/11/2020 20:21:49  ----------------before-quit-----------------
INFO 06/11/2020 20:21:49  ------------------will-quit------------------
INFO 06/11/2020 20:48:51  ------------------start------------------
INFO 06/11/2020 20:48:52  typora version: 0.9.96
DEBUG 06/11/2020 20:48:52  [ '/home/glaulher/Typora-linux-x64/Typora' ]
INFO 06/11/2020 20:48:52  [Raven] instanceKey = 939ba52e-6615-41d6-9742-fa8ade6ec26a
INFO 06/11/2020 20:48:52  [Raven] userId = e14f096c-b0a6-4de2-8256-4fd7513abe13
DEBUG 06/11/2020 20:48:52  app.openFile
INFO 06/11/2020 20:48:53  [focus] 1
INFO 06/11/2020 20:48:54  [blur] 1
INFO 06/11/2020 20:48:57  [focus] 1
INFO 06/11/2020 20:49:01  [blur] 1
INFO 06/11/2020 20:51:00  [focus] 1
INFO 06/11/2020 20:51:01  [blur] 1
INFO 06/11/2020 20:51:03  [focus] 1
INFO 06/11/2020 20:51:17  updateTheme
INFO 06/11/2020 20:51:38  File.option.prettyIndent = true;
INFO 06/11/2020 20:51:39  File.option.prettyIndent = false;
INFO 06/11/2020 20:52:22  [blur] 1
INFO 06/11/2020 21:22:01  [focus] 1
INFO 06/11/2020 21:22:01  [blur] 1
